ID,Time Started,Time Finished,Manufacturer,OS,Audience,Country,Area,County,City,Provider,Gender,Age,Year Of Birth,How often do you hear about inflation in the media?,How often do you hear about COVID-19 in the media?,How often do you hear about climate change in the media?,How often do you hear about border security in the media?,How often do you hear about gun policies in the media?,How often do you hear about abortion in the media?,How often do you hear about Ukraine in the media?,Marital Status,Number of children,Education,Employment Status,Career,Race,Income,Spoken Languages,Organization Role,Number of Employees,Residential Postal Code,Location Postal Code,US Census Region,US Census Division,US Congressional District,DMA Code,DMA Name,Weight,
-1323317408,2022-11-28 16:09:53,2022-11-28 16:12:49,Apple,iOS,Audience 1,US,Georgia,"Lowndes, Georgia, United States",Valdosta,Unknown,female,18 - 24,2003,At least once a month,At least once a month,At least once a month,At least once a month,At least once a week,At least once a week,At least once a month,single,zero,university,student,health_care_and_social_assistance,white,middle_i,en,other_non_management,six_to_ten,31698 US,31698,South,South Atlantic,8,530,Tallahassee-Thomasville,0.44,
-269781092,2022-11-28 19:09:39,2022-11-28 19:10:00,Unknown,Web,Audience 1,US,Georgia,"Columbia, Georgia, United States",Evans,Unknown,female,35 - 44,1984,Several times a year,Several times a year,Several times a year,At least once a month,At least once a month,At least once a week,At least once a week,living_with_partner,three,university,homemaker,homemaker,white,lower_ii,en,other_non_management,greater_than_fivethousands,30904 US,30809,South,South Atlantic,12,520,Augusta-Aiken,0.42,
-724707053,2022-11-28 19:39:17,2022-11-28 19:39:36,Apple,iOS,Audience 1,US,Georgia,"Bulloch, Georgia, United States",Statesboro,Unknown,male,25 - 34,1995,Once a year or less,Several times a year,At least once a month,At least once a month,At least once a week,Once a year or less,At least once a month,single,zero,high_school,employed_for_wages,retail,black,lower_i,en,sales_staff,fiftyone_to_hundrend,30461 US,30458,South,South Atlantic,12,507,Savannah,1.26,
1607959221,2022-12-03 02:49:00,2022-12-03 02:49:43,Unknown,Android,Audience 1,US,Georgia,"Colquitt, Georgia, United States",Norman Park,T-Mobile,female,35 - 44,1985,Never,Several times a year,Once a year or less,At least once a month,Never,Several times a year,Once a year or less,single,six_or_more,high_school,self_employed,other,black,lower_i,en,owner_partner,one,31771 US,31771,South,South Atlantic,8,525,"Albany, GA",0.42,
418621259,2022-11-28 16:26:49,2022-11-28 16:27:11,Unknown,Android,Audience 1,US,Georgia,"Chatham, Georgia, United States",Savannah,Unknown,female,25 - 34,1992,At least once a week,At least once a week,At least once a month,At least once a week,At least once a week,At least once a week,At least once a week,living_with_partner,two,vocational_technical_college,homemaker,homemaker,white,lower_ii,en,prefer_not_to_say,do_not_work,31410 US,31410,South,South Atlantic,1,507,Savannah,0.51,
-1278489521,2022-11-29 18:22:01,2022-11-29 18:22:33,Unknown,Web,Audience 1,US,Georgia,"Effingham, Georgia, United States",Springfield,Unknown,female,18 - 24,2000,Never,Several times a year,At least once a month,Never,At least once a week,At least once a month,At least once a week,living_with_partner,one,high_school,homemaker,homemaker,white,middle_i,en,chief_technical_officer,do_not_work,31069 US,31329,South,South Atlantic,12,507,Savannah,0.44,
-258915058,2022-11-28 15:59:09,2022-11-28 15:59:40,Unknown,Web,Audience 1,US,Georgia,"Muscogee, Georgia, United States",Columbus,Unknown,female,25 - 34,1992,At least once a week,Several times a year,Once a year or less,Once a year or less,Once a year or less,At least once a week,Several times a year,separated,one,high_school,student,broadcasting,white,lower_i,en,c_level_executive,two_to_five,31820 US,31907,South,South Atlantic,2,522,"Columbus, GA (Opelika, AL)",0.51,
1368153514,2022-12-05 19:29:33,2022-12-05 19:29:52,Unknown,iOS,Audience 1,US,Georgia,"Sumter, Georgia, United States",Americus,Unknown,female,18 - 24,1999,Several times a year,Several times a year,Once a year or less,Several times a year,Several times a year,Several times a year,Several times a year,married,zero,high_school,employed_for_wages,other,white,lower_ii,en,not_work,twentysix_to_fifty,39813 US,31709,South,South Atlantic,2,522,"Columbus, GA (Opelika, AL)",0.44,
358892418,2022-11-28 15:58:04,2022-11-28 15:59:53,Unknown,Web,Audience 1,US,Georgia,"Colquitt, Georgia, United States",Moultrie,Unknown,female,35 - 44,1986,Once a year or less,Several times a year,At least once a month,At least once a month,At least once a month,At least once a month,Once a year or less,living_with_partner,zero,university,homemaker,manufacturing_computer_and_electronics,black,lower_i,en,prefer_not_to_say,two_to_five,31768 US,31768,South,South Atlantic,8,525,"Albany, GA",0.42,
1636245747,2022-11-28 17:56:24,2022-11-28 17:58:01,Unknown,Android,Audience 1,US,Georgia,"Colquitt, Georgia, United States",Moultrie,Unknown,male,> 54,1965,Several times a year,Several times a year,At least once a month,Never,Several times a year,Several times a year,Never,widowed,zero,high_school,retired,shipping_distribution,black,lower_ii,en,foreman,fivehundrendsone_to_thousand,31643 US,31768,South,South Atlantic,8,525,"Albany, GA",2.28,
-314190711,2022-11-28 15:52:31,2022-11-28 15:52:53,Apple,iOS,Audience 1,US,Georgia,"Chatham, Georgia, United States",Savannah,Unknown,female,18 - 24,2002,Several times a year,At least once a week,At least once a month,At least once a month,Never,At least once a week,Never,single,two,high_school,unemployed_not_looking,retail,white,lower_i,en,prefer_not_to_say,do_not_work,31419 US,31419,South,South Atlantic,1,507,Savannah,0.44,
469213467,2022-11-29 04:22:17,2022-11-29 04:22:57,Unknown,Android,Audience 1,US,Georgia,"Muscogee, Georgia, United States",Columbus,Unknown,male,25 - 34,1990,At least once a week,At least once a month,Several times a year,Several times a year,At least once a week,At least once a month,Several times a year,married,one,postgraduate,employed_for_wages,other,black,middle_i,en,other_non_management,do_not_work,31907 US,31907,South,South Atlantic,2,522,"Columbus, GA (Opelika, AL)",0.77,
-204706298,2022-11-29 13:29:57,2022-11-29 13:30:37,Unknown,Android,Audience 1,US,Georgia,"Treutlen, Georgia, United States",Soperton,Unknown,female,> 54,1965,At least once a week,At least once a week,At least once a month,At least once a week,At least once a week,At least once a week,At least once a month,married,three,high_school,employed_for_wages,hotel_and_food_services,white,middle_i,en,owner_partner,two_to_five,30457 US,30457,South,South Atlantic,12,507,Savannah,1.52,
496888463,2022-11-29 15:48:18,2022-11-29 15:48:48,Unknown,Web,Audience 1,US,Georgia,"Peach, Georgia, United States",Byron,Unknown,male,35 - 44,1978,At least once a week,At least once a month,At least once a month,Several times a year,Several times a year,At least once a month,At least once a week,single,zero,university,employed_for_wages,marketing_sales,white,high_i,en,owner_partner,one,31768 US,31008,South,South Atlantic,8,503,Macon,1.08,
499510878,2022-11-28 20:30:59,2022-11-28 20:31:29,Unknown,Web,Audience 1,US,Georgia,"Bryan, Georgia, United States",Richmond Hill,Unknown,female,> 54,1956,At least once a week,At least once a week,At least once a week,At least once a month,At least once a month,At least once a month,At least once a week,married,zero,high_school,retired,other,white,middle_ii,en,prefer_not_to_say,do_not_work,31324 US,31324,South,South Atlantic,1,507,Savannah,2.56,
