ID,Time Started,Time Finished,Manufacturer,OS,Audience,Country,Area,County,City,Provider,Gender,Age,Year Of Birth,How often do you hear about inflation in the media?,How often do you hear about COVID-19 in the media?,How often do you hear about climate change in the media?,How often do you hear about border security in the media?,How often do you hear about gun policies in the media?,How often do you hear about abortion in the media?,How often do you hear about Ukraine in the media?,Marital Status,Number of children,Education,Employment Status,Career,Race,Income,Spoken Languages,Organization Role,Number of Employees,Residential Postal Code,Location Postal Code,US Census Region,US Census Division,US Congressional District,DMA Code,DMA Name,Weight,
-1917830720,2022-11-29 01:49:01,2022-11-29 01:49:28,Unknown,iOS,Audience 1,US,North Carolina,"Randolph, North Carolina, United States",Liberty,Unknown,female,18 - 24,2002,Never,Never,At least once a month,Never,Never,Never,At least once a month,single,one,university,unemployed_looking,hotel_and_food_services,white,lower_i,en,faculty_staff,twentysix_to_fifty,29710 US,27298,South,South Atlantic,6,518,Greensboro-H.Point-W.Salem,0.48,
1630471920,2022-11-30 04:27:54,2022-11-30 04:28:21,Unknown,iOS,Audience 1,US,North Carolina,"Brunswick, North Carolina, United States",Ocean Isle Beach,Unknown,female,35 - 44,1983,At least once a week,At least once a week,Several times a year,Several times a year,Several times a year,At least once a week,At least once a week,divorced,one,high_school,employed_for_wages,consulting,white,lower_i,en,faculty_staff,six_to_ten,28470 US,28469,South,South Atlantic,7,550,Wilmington,0.55,
-110325096,2022-11-30 14:34:32,2022-11-30 14:35:18,Unknown,Web,Audience 1,US,North Carolina,"Beaufort, North Carolina, United States",Washington,Unknown,female,35 - 44,1987,At least once a month,At least once a week,At least once a month,Several times a year,At least once a month,At least once a week,At least once a week,married,two,university,employed_for_wages,health_care_and_social_assistance,white,high_i,en,senior_management,twohundrendfiftyone_to_fivehundrends,27889 US,27889,South,South Atlantic,3,545,Greenville-N.Bern-Washngtn,0.59,
-1557189891,2022-11-28 20:15:06,2022-11-28 20:16:22,Unknown,Web,Audience 1,US,North Carolina,"Lee, North Carolina, United States",Sanford,Unknown,female,45 - 54,1968,At least once a week,At least once a month,At least once a week,At least once a month,At least once a week,At least once a week,At least once a month,separated,zero,postgraduate,self_employed,hotel_and_food_services,asian,lower_ii,en,prefer_not_to_say,twentysix_to_fifty,27569 US,27330,South,South Atlantic,8,560,Raleigh-Durham (Fayetvlle),1.6,
-1624034803,2022-11-29 00:16:40,2022-11-29 00:17:22,Unknown,Android,Audience 1,US,North Carolina,"Mitchell, North Carolina, United States",Spruce Pine,Unknown,male,25 - 34,1990,Several times a year,At least once a month,At least once a month,Once a year or less,At least once a month,Once a year or less,Several times a year,living_with_partner,zero,high_school,unemployed_looking,processing,white,lower_i,en,prefer_not_to_say,fivehundrendsone_to_thousand,28777 US,28777,South,South Atlantic,11,567,Greenvll-Spart-Ashevll-And,0.69,
970400256,2022-11-28 16:44:15,2022-11-28 16:44:57,Unknown,Web,Audience 1,US,North Carolina,"Cabarrus, North Carolina, United States",Concord,Unknown,male,35 - 44,1979,At least once a week,At least once a week,At least once a week,At least once a week,At least once a week,At least once a week,At least once a week,married,two,high_school,employed_for_wages,manufacturing_other,white,middle_ii,en,product_manager,twohundrendfiftyone_to_fivehundrends,28081 US,28027,South,South Atlantic,8,517,Charlotte,0.67,
1251099681,2022-11-28 17:13:09,2022-11-28 17:13:48,Unknown,Android,Audience 1,US,North Carolina,"Davidson, North Carolina, United States",Lexington,Unknown,male,35 - 44,1982,Several times a year,At least once a month,Once a year or less,Once a year or less,At least once a week,At least once a week,At least once a week,single,zero,high_school,self_employed,construction,white,middle_i,en,supervisor,six_to_ten,27295 US,27295,South,South Atlantic,13,518,Greensboro-H.Point-W.Salem,0.67,
-1217234344,2022-11-28 16:01:12,2022-11-28 16:01:32,Unknown,iOS,Audience 1,US,North Carolina,"Rockingham, North Carolina, United States",Reidsville,Unknown,male,35 - 44,1983,At least once a month,Several times a year,At least once a month,At least once a month,At least once a month,At least once a week,At least once a week,married,zero,university,unemployed_looking,other,white,lower_i,en,faculty_staff,six_to_ten,27048 US,27320,South,South Atlantic,6,518,Greensboro-H.Point-W.Salem,0.67,
-714733929,2022-11-28 16:19:40,2022-11-28 16:20:06,Unknown,Web,Audience 1,US,North Carolina,"Randolph, North Carolina, United States",Trinity,Unknown,female,35 - 44,1980,Several times a year,At least once a week,At least once a month,Several times a year,At least once a month,Several times a year,Once a year or less,separated,two,university,homemaker,education,white,middle_ii,en,hr_manager,two_to_five,27370 US,27370,South,South Atlantic,6,518,Greensboro-H.Point-W.Salem,0.55,
-1117208598,2022-11-28 16:30:49,2022-11-28 16:31:31,Unknown,iOS,Audience 1,US,North Carolina,"Alamance, North Carolina, United States",Burlington,Unknown,female,35 - 44,1986,At least once a week,At least once a month,At least once a week,Several times a year,Several times a year,Once a year or less,At least once a week,married,zero,university,unemployed_looking,other,other,lower_i,en,not_work,do_not_work,27217 US,27215,South,South Atlantic,6,518,Greensboro-H.Point-W.Salem,0.59,
1348945635,2022-11-28 15:57:04,2022-11-28 15:57:28,Unknown,Android,Audience 1,US,North Carolina,"Wilkes, North Carolina, United States",North Wilkesboro,Unknown,female,35 - 44,1980,At least once a month,At least once a week,At least once a month,Several times a year,At least once a month,Several times a year,At least once a month,living_with_partner,one,high_school,employed_for_wages,wholesale,white,lower_ii,en,supervisor,six_to_ten,28659 US,28659,South,South Atlantic,5,518,Greensboro-H.Point-W.Salem,0.55,
-837310366,2022-12-06 09:57:24,2022-12-06 09:58:03,Unknown,Web,Audience 1,US,North Carolina,"Cumberland, North Carolina, United States",Fayetteville,Unknown,male,25 - 34,1995,At least once a month,At least once a week,Several times a year,At least once a month,Never,At least once a week,At least once a month,single,zero,high_school,employed_for_wages,education,white,lower_ii,en,prefer_not_to_say,thousandone_to_fivethousands,28348 US,28312,South,South Atlantic,9,550,Wilmington,1.02,
-79825066,2022-11-28 18:29:41,2022-11-28 18:30:09,Unknown,Web,Audience 1,US,North Carolina,"Person, North Carolina, United States",Roxboro,Unknown,male,25 - 34,1990,At least once a week,At least once a week,At least once a month,At least once a month,Several times a year,Several times a year,At least once a week,single,zero,high_school,self_employed,manufacturing_computer_and_electronics,white,lower_ii,en,c_level_executive,one,27583 US,27574,South,South Atlantic,6,560,Raleigh-Durham (Fayetvlle),0.69,
970626871,2022-11-28 19:55:16,2022-11-28 19:55:50,Unknown,Android,Audience 1,US,North Carolina,"Surry, North Carolina, United States",Mount Airy,Unknown,male,35 - 44,1986,Several times a year,At least once a month,Several times a year,At least once a month,Several times a year,At least once a month,Several times a year,single,zero,high_school,employed_for_wages,manufacturing_other,white,lower_ii,en,supervisor,fiftyone_to_hundrend,27030 US,27030,South,South Atlantic,5,518,Greensboro-H.Point-W.Salem,0.71,
-1079254946,2022-11-28 19:11:33,2022-11-28 19:11:53,Unknown,Android,Audience 1,US,North Carolina,"Catawba, North Carolina, United States",Hickory,Unknown,female,45 - 54,1973,Several times a year,At least once a week,At least once a month,At least once a month,Several times a year,At least once a week,At least once a week,separated,one,vocational_technical_college,employed_for_wages,construction,white,middle_ii,en,director,hundrendone_to_twohundrendsfifty,28601 US,28602,South,South Atlantic,11,517,Charlotte,1.18,
1556186674,2022-11-28 19:04:16,2022-11-28 19:05:07,Unknown,Web,Audience 1,US,North Carolina,"Wake, North Carolina, United States",Wake Forest,Unknown,male,> 54,1963,At least once a week,At least once a month,Several times a year,Several times a year,Several times a year,At least once a week,At least once a week,single,zero,university,employed_for_wages,information_other,white,middle_ii,en,senior_management,thousandone_to_fivethousands,27587 US,27587,South,South Atlantic,4,560,Raleigh-Durham (Fayetvlle),2.7,
-1060469382,2022-11-29 13:11:32,2022-11-29 13:13:02,Unknown,iOS,Audience 1,US,North Carolina,"Pitt, North Carolina, United States",Farmville,Unknown,male,18 - 24,1999,At least once a month,At least once a week,At least once a week,At least once a month,Once a year or less,Several times a year,At least once a week,divorced,one,postgraduate,employed_for_wages,automotive,white,high_iii,en,administrative_clerical,greater_than_fivethousands,27893 US,27828,South,South Atlantic,3,545,Greenville-N.Bern-Washngtn,0.58,
