"","Article.Title","Link","Date.Published","News.Outlet","Preview","Key.Author","All.Authors"
"69","Duke Energy defends greenhouse gas reduction process, says ...","<a href='https://www.newsobserver.com/news/politics-government/article259153223.html' target='_blank'>Link to Article</a>","2022-03-08","www.newsobserver.com","When should Duke Energy make technical data about its plans to cut carbon available? The company says after filing a plan, advocates say before.","Adam Wagner",""
"70","Gov. Cooper's executive order set ambitious climate change goals ...","<a href='https://www.newsobserver.com/news/politics-government/article260031520.html' target='_blank'>Link to Article</a>","2022-04-17","www.newsobserver.com","Signed after 2018’s Hurricane Florence, Executive Order 80 paved the way for legislation requiring Duke Energy to cut North Carolina’s carbon emissions. Here is what has actually happened so far.","Adam Wagner",""
"71","Winston-Salem plant fire shows environmental injustice | Raleigh ...","<a href='https://www.newsobserver.com/news/politics-government/article258036408.html' target='_blank'>Link to Article</a>","2022-02-07","www.newsobserver.com","The Winston Weaver plant caught fire with hundreds of tons of a potential explosive on the site. Why didn’t longtime residents know about it?","Adam Wagner",""
"72","Duke's carbon plan criticized as doing too little, too late | Raleigh ...","<a href='https://www.newsobserver.com/news/politics-government/article263420323.html' target='_blank'>Link to Article</a>","2022-07-15","www.newsobserver.com","A Durham County courtroom was filled to capacity as was a meeting room in Wilmington. Commissioners heard comments about environmental justice, natural gas and other concerns.","Adam Wagner",""
"73","Despite 'divided government,' NC turned executive order into ...","<a href='https://www.newsobserver.com/news/politics-government/article260031540.html' target='_blank'>Link to Article</a>","2022-04-17","www.newsobserver.com","North Carolina’s governor set out to reduce climate change. Here’s how some of his targets became state law and what could happen next.","Adam Wagner",""
"74","US cabinet officials visit NC, tout infrastructure law | Raleigh News ...","<a href='https://www.newsobserver.com/news/politics-government/article260735297.html' target='_blank'>Link to Article</a>","2022-04-26","www.newsobserver.com","USDA Secretary Tom Vilsack and EPA Administrator Michael Regan visited North Carolina to promote the bipartisan infrastructure law.","Adam Wagner",""
"75","NC State professor: Bird flu is 'terrible death' for poultry | Raleigh ...","<a href='https://www.newsobserver.com/news/state/north-carolina/article259984585.html' target='_blank'>Link to Article</a>","2022-04-01","www.newsobserver.com","North Carolina produces hundreds of millions of chickens and turkeys every year. That could be threatened by a fast-moving bird flu.","Adam Wagner",""
"76","EPA investigating NC DEQ's hog farm biogas permit approvals ...","<a href='https://www.newsobserver.com/news/politics-government/article257331732.html' target='_blank'>Link to Article</a>","2022-01-14","www.newsobserver.com","A complaint filed by N.C. groups alleged that DEQ’s environmental analyses were “a paper exercise.” Now the EPA is investigating.","Adam Wagner",""
"77","NC needs to do more to meet climate change goals, group says ...","<a href='https://www.newsobserver.com/news/politics-government/article259862555.html' target='_blank'>Link to Article</a>","2022-03-29","www.newsobserver.com","Gov. Roy Cooper has targeted cuts from 2005 levels of 40% by 2025 and 50% by 2050. NC is set to miss both, according to new analysis.","Adam Wagner",""
"78","Duke Energy carbon plan has solar, offshore wind and nuclear ...","<a href='https://www.newsobserver.com/news/business/article261480287.html' target='_blank'>Link to Article</a>","2022-05-16","www.newsobserver.com","NC is requiring Duke Energy to cut emissions 70% from 2005 levels. It would reach that target in 2030 under one of four scenarios in the new plan.","Adam Wagner",""
"79","Federal government to auction NC offshore wind energy area ...","<a href='https://www.newsobserver.com/news/business/article261025142.html' target='_blank'>Link to Article</a>","2022-05-09","www.newsobserver.com","This week’s auction could fetch $500 million, much higher than the $9 million Avangrid paid in 2017 for a site off Kitty Hawk.","Adam Wagner",""
"80","Chemours PFAS discharge permit criticized in Wilmington | Raleigh ...","<a href='https://www.newsobserver.com/news/politics-government/article262742052.html' target='_blank'>Link to Article</a>","2022-06-25","www.newsobserver.com","The chemical company Chemours wants to remove 99% of the forever chemicals in groundwater under its plant, but Wilmington residents say the company can do more.","Adam Wagner",""
"81","NC offshore wind auctions won by Duke Energy, TotalEnergies ...","<a href='https://www.newsobserver.com/news/business/article261379932.html' target='_blank'>Link to Article</a>","2022-05-12","www.newsobserver.com","Duke Energy has to submit a draft plan to reduce carbon emissions next week. Company officials said winning the lease gives them options.","Adam Wagner",""
"82","NC Gov. Cooper names Peter Ledford to lead energy transition ...","<a href='https://www.newsobserver.com/news/politics-government/article263869027.html' target='_blank'>Link to Article</a>","2022-07-27","www.newsobserver.com","Peter Ledford is an attorney for the N.C. Sustainable Energy Association, where he has become a familiar advocate for renewable sources.","Adam Wagner",""
"83","Chemours, industry lobbyists oppose PFAS water cleanup bill ...","<a href='https://www.newsobserver.com/news/politics-government/article262071277.html' target='_blank'>Link to Article</a>","2022-06-02","www.newsobserver.com","DEQ Secretary Elizabeth Biser said it’s “not a political issue,” but chemical and manufacturer lobbyists argued against the legislation.","Adam Wagner",""
"84","Weatherization programs can lower NC residents' energy bills ...","<a href='https://www.newsobserver.com/news/state/north-carolina/article258971123.html' target='_blank'>Link to Article</a>","2022-03-04","www.newsobserver.com","President Joe Biden called weatherization of homes and businesses a tool to address climate change. What is it, and how can you get it in NC?","Adam Wagner",""
"85","Water in Raleigh, Durham, Chapel Hill contains PFAS above new ...","<a href='https://www.newsobserver.com/news/local/article262621292.html' target='_blank'>Link to Article</a>","2022-06-17","www.newsobserver.com","Many water utilities in the Triangle have recently measured higher levels of “forever chemicals” than the EPA’s new health advisory levels.","Adam Wagner",""
"86","Economic analyses put offshore wind's NC impact in billions ...","<a href='https://www.newsobserver.com/news/politics-government/article257308252.html' target='_blank'>Link to Article</a>","2022-02-09","www.newsobserver.com","What kind of jobs can offshore wind bring to North Carolina, and is the state doing anything to prepare for them?","Adam Wagner",""
"87","Shell renewable energy executive talks wind, hydrogen at UNC ...","<a href='https://www.newsobserver.com/news/business/article259881620.html' target='_blank'>Link to Article</a>","2022-03-29","www.newsobserver.com","Shell is one of the world’s largest oil and gas companies. Is it ‘antithetical’ for the company to be involved in ‘the energy of the future’?","Adam Wagner",""
"88","At Raleigh event, Fort Bragg official outlines renewable energy efforts","<a href='https://www.newsobserver.com/news/politics-government/article262027382.html' target='_blank'>Link to Article</a>","2022-06-04","www.newsobserver.com","Fort Bragg in North Carolina is building the Department of Defense’s first floating solar farm. But the base is planning even more renewable efforts.","Adam Wagner",""
"89","'Right to repair' equipment removed from NC Senate farm bill. Why it ...","<a href='https://www.newsobserver.com/news/politics-government/article261738957.html' target='_blank'>Link to Article</a>","2022-05-24","www.newsobserver.com","Should farmers be able to diagnose and repair their equipment? The NC Senate on Tuesday stalled a measure that would have allowed it.","Adam Wagner",""
