"","Article.Title","Link","Date.Published","News.Outlet","Preview","Key.Author","All.Authors"
"16","Gulf remains between Georgia Power, PSC staff over rate hike ...","<a href='https://www.ajc.com/news/gulf-remains-between-georgia-power-psc-staff-over-rate-hike-proposal/7QRA6SGHFFHP3L3AONPUHQDOGM/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Witnesses for Georgia Power, environmental groups and members of the public delivered their closing arguments this week before state utility regulators at the Georgia Public Service Commission (PSC) decide whether to approve or pare back a nearly 12% rate hike the company wants to impose on customers over the next three years.","Drew Kann",""
"17","Plant Vogtle reaches major milestone with one of its new reactors","<a href='https://www.ajc.com/news/plant-vogtle-reaches-major-milestone-with-one-of-its-new-reactors/VZ2JKMLRCRCL7ARRQHXCQ4257A/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","The Nuclear Regulatory Commission authorized fuel to be loaded into a new reactor at Plant Vogtle.","Drew Kann",""
"18","Southern Company joins bid to land regional hydrogen hub","<a href='https://www.ajc.com/news/southern-company-joins-bid-to-land-regional-hydrogen-hub/MRRSKKER3VFXRM5CTGHMBYUKKE/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Southern Company, the parent company of Georgia Power, is joining many of the Southeast’s largest utilities to launch joint bid to bring a hydrogen hub to the region.","Drew Kann",""
"19","What the Supreme Court's greenhouse gas ruling could mean for ...","<a href='https://www.ajc.com/news/supreme-court-ruling-tees-up-new-legal-fights-over-environmental-regs/GHO6EHUSU5A65MWEOPILVJ7ZNE/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Experts say the Supreme Court’s decision to rein in the Environmental Protection Agency’s authority to limit greenhouse gas emissions likely won't stop the transition away from coal-fired power plants, but may lead to a wave of new litigation challenging other environmental regulations.","Drew Kann",""
"20","Hurricane seasons are starting earlier. Scientists think they know why","<a href='https://www.ajc.com/news/hurricane-seasons-are-starting-earlier-scientists-think-they-know-why/TL6UECRCL5AXHB4DUZSJVTYQO4/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","The window for dangerous tropical storms to form is shifting earlier in the calendar year, new research has found, with potential impacts on Georgians living on the coast and farther inland.","Drew Kann",""
"21","After legal roller coaster, judge rules Democrat can stay in PSC race","<a href='https://www.ajc.com/news/after-legal-roller-coaster-judge-rules-democrat-can-stay-in-psc-race/A3NWESB75FFSHCJWE75QD3GRTQ/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","A judge ruled Thursday that Patty Durand, a Democratic candidate for the Georgia Public Service Commission, can stay in the race for the District 2 seat because the state’s residency requirements are unconstitutional as applied to her case.","Drew Kann",""
"22","Georgia Power tries burning hydrogen as it seeks fossil fuel ...","<a href='https://www.ajc.com/news/exploring-a-fossil-fuel-free-future-georgia-power-tests-something-new/H7JP4P4LLNGFBLUCID37XQHWXY/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Georgia Power conducted several successful tests this month to explore whether hydrogen — the universe’s most abundant element — could be another alternative for the company to generate power and reduce dependence on fossil fuels.","Drew Kann",""
"23","Fishermen sue claiming Golden Ray pollution is still hurting business","<a href='https://www.ajc.com/news/fishermen-sue-claiming-golden-ray-pollution-is-still-hurting-business/ELSFIEW3FJGXXNVZI2RNDWFCYE/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","A group of fishermen and other members of coastal Georgia’s tourism economy have sued companies connected to the Golden Ray containership for damages, alleging pollutants released during the incident and cleanup have caused lasting harm to their businesses.","Drew Kann",""
"24","City council passes modest updates to Atlanta's tree ordinance","<a href='https://www.ajc.com/news/city-council-passes-modest-updates-to-atlantas-tree-ordinance/Z4EGLH5I5BGXRC47M444ZY2IJ4/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Atlanta city council passed several revisions to the city’s dated tree ordinance on Monday, representing the first new measures approved in years aimed at protecting the city’s trademark tree canopy.","Drew Kann",""
"25","Monitors blame Georgia Power's lax oversight for Plant Vogtle delays","<a href='https://www.ajc.com/news/monitors-blame-georgia-powers-lax-oversight-for-plant-vogtle-delays/BGRQWF65PFDMLB5QXKT7XYZLZQ/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Monitors enlisted by state regulators to track construction of the two new nuclear units at Plant Vogtle recently criticized Georgia Power, Southern Nuclear and their subcontractors’ management of the project, claiming their lax oversight has contributed to delays and skyrocketing costs.","Drew Kann",""
